FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Class
6,2010-06-04T18:45:00.000Z,Falcon 9,0.0,LEO,CCSFS SLC 40,True,1
7,2010-12-08T15:43:00.000Z,Falcon 9,0.0,LEO,CCSFS SLC 40,True,1
8,2012-05-22T07:44:00.000Z,Falcon 9,525.0,LEO,CCSFS SLC 40,True,1
9,2012-10-08T00:35:00.000Z,Falcon 9,800.0,ISS,CCSFS SLC 40,True,1
10,2013-03-01T19:10:00.000Z,Falcon 9,677.0,ISS,CCSFS SLC 40,True,1
11,2013-09-29T16:00:00.000Z,Falcon 9,500.0,PO,VAFB SLC 4E,True,1
12,2013-12-03T22:41:00.000Z,Falcon 9,3170.0,GTO,CCSFS SLC 40,True,1
13,2014-01-06T18:06:00.000Z,Falcon 9,3325.0,GTO,CCSFS SLC 40,True,1
14,2014-04-18T19:25:00.000Z,Falcon 9,2296.0,ISS,CCSFS SLC 40,True,1
15,2014-07-14T15:15:00.000Z,Falcon 9,1316.0,LEO,CCSFS SLC 40,True,1
16,2014-08-05T08:00:00.000Z,Falcon 9,4535.0,GTO,CCSFS SLC 40,True,1
17,2014-09-07T05:00:00.000Z,Falcon 9,4428.0,GTO,CCSFS SLC 40,True,1
18,2014-09-21T05:52:00.000Z,Falcon 9,2216.0,ISS,CCSFS SLC 40,True,1
19,2015-01-10T09:47:00.000Z,Falcon 9,2395.0,ISS,CCSFS SLC 40,True,1
20,2015-02-11T23:03:00.000Z,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True,1
21,2015-03-02T03:50:00.000Z,Falcon 9,4159.0,GTO,CCSFS SLC 40,True,1
22,2015-04-14T20:10:00.000Z,Falcon 9,1898.0,ISS,CCSFS SLC 40,True,1
23,2015-04-27T23:03:00.000Z,Falcon 9,4707.0,GTO,CCSFS SLC 40,True,1
24,2015-06-28T14:21:00.000Z,Falcon 9,2477.0,ISS,CCSFS SLC 40,False,0
25,2015-12-22T01:29:00.000Z,Falcon 9,2034.0,LEO,CCSFS SLC 40,True,1
26,2016-01-17T15:42:00.000Z,Falcon 9,553.0,PO,VAFB SLC 4E,True,1
27,2016-03-04T23:35:00.000Z,Falcon 9,5271.0,GTO,CCSFS SLC 40,True,1
28,2016-04-08T20:43:00.000Z,Falcon 9,3136.0,ISS,CCSFS SLC 40,True,1
29,2016-05-06T05:21:00.000Z,Falcon 9,4696.0,GTO,CCSFS SLC 40,True,1
30,2016-05-27T21:39:00.000Z,Falcon 9,3100.0,GTO,CCSFS SLC 40,True,1
31,2016-06-15T14:29:00.000Z,Falcon 9,3600.0,GTO,CCSFS SLC 40,True,1
32,2016-07-18T04:45:00.000Z,Falcon 9,2257.0,ISS,CCSFS SLC 40,True,1
33,2016-08-14T05:26:00.000Z,Falcon 9,4600.0,GTO,CCSFS SLC 40,True,1
34,2016-09-01T13:07:00.000Z,Falcon 9,5500.0,GTO,CCSFS SLC 40,False,0
35,2017-01-14T17:54:00.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
36,2017-02-19T14:39:00.000Z,Falcon 9,2490.0,ISS,KSC LC 39A,True,1
37,2017-03-16T06:00:00.000Z,Falcon 9,5600.0,GTO,KSC LC 39A,True,1
38,2017-03-30T22:27:00.000Z,Falcon 9,5300.0,GTO,KSC LC 39A,True,1
39,2017-05-01T11:15:00.000Z,Falcon 9,0.0,LEO,KSC LC 39A,True,1
40,2017-05-15T23:21:00.000Z,Falcon 9,6070.0,GTO,KSC LC 39A,True,1
41,2017-06-03T21:07:00.000Z,Falcon 9,2708.0,ISS,KSC LC 39A,True,1
42,2017-06-23T19:10:00.000Z,Falcon 9,3669.0,GTO,KSC LC 39A,True,1
43,2017-06-25T20:25:00.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
