0,1,2,3,4,5,6,7,8,9
Flight No.,Date andtime (UTC),"Version,booster[j]",Launchsite,Payload[k],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding
286,"January 3, 202403:44[23]",F9 B5B1082‑1,"Vandenberg, SLC‑4E",Starlink: Group 7-9 (22 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites, including the first six to feature direct-to-cell connectivity, to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
287,"January 3, 202423:04[24]",F9 B5B1076‑10,"Cape Canaveral, SLC‑40",Ovzon-3,"1,800 kg (4,000 lb)",GTO,Ovzon,Success,Success (LZ‑1)
"Broadband internet provider satellite.[25] First Falcon 9 launch to GTO with a return-to-launch-site (RTLS) landing. First commercial satellite with Roll Out Solar Array that was deployed on January 10, 2024.[26][27]",,,,,,,,,
288,"January 7, 202422:35[28]",F9 B5B1067‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-35 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Falcon record for total time from hangar rollout to launch at 6 hours, 33 minutes.[29]",,,,,,,,,
289,"January 14, 202408:59[30]",F9 B5B1061‑18,"Vandenberg, SLC‑4E",Starlink: Group 7-10 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 18th time.,,,,,,,,,
290,"January 15, 202401:52[31]",F9 B5B1073‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-37 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Shortest landing-to-landing turnaround of a droneship, at about 7 days. 300th successful mission for SpaceX.[32] Following this launch, SLC-40 was deactivated for planned maintenance and upgrades and would not see another flight until January 30.[33]",,,,,,,,,
291,"January 18, 202421:49[34]",F9 B5B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212-3 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1)
"Axiom contracted for three additional private crewed missions in June 2021.[35][36][37] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.",,,,,,,,,
292,"January 24, 202400:35[38]",F9 B5B1063‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-11 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
293,"January 29, 202401:10[39]",F9 B5B1062‑18,"Kennedy, LC‑39A",Starlink: Group 6-38 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,,,,,,,,,
294,"January 29, 202405:57[40]",F9 B5B1075‑9,"Vandenberg, SLC‑4E",Starlink: Group 7-12 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",,,,,,,,,
295,"January 30, 202417:07[41]",F9 B5B1077‑10,"Cape Canaveral, SLC‑40","CRS NG-20 (S.S. Patricia ""Patty"" Hilliard Robertson)","3,726 kg (8,214 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1)
"First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",,,,,,,,,
296,"February 8, 202406:33[44]",F9 B5B1081‑4,"Cape Canaveral, SLC‑40",PACE,"1,694 kg (3,735 lb)",SSO,NASA (LSP),Success,Success (LZ‑1)
"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]",,,,,,,,,
297,"February 10, 202400:34[46]",F9 B5B1071‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-13 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
298,"February 14, 202422:30[47]",F9 B5B1078‑7,"Cape Canaveral, SLC‑40",USSF-124 (6 satellites),Unknown,LEO,USSF / SDA,Success,Success (LZ‑2)
